Satellites,Accepted T (s),Measured T (s),Error in T (%),Accepted d (km),Measured d (km),Error in d (%),Jupiter M (kg),Error in M (%)
Io,152300.0,152283,0.01119159224304278,421800,415857.0,1.429022359074672,1.8347156768106593e+27,3.3342636032318573
Europa,304600.0,304710,0.03611188405923116,671100,663772.0,1.1039571963272987,1.8634701976500232e+27,1.8192730426752735
Ganymede,618243.0,617839,0.06531466244490414,1070400,1063635.0,0.6360233393580605,1.8649443363950126e+27,1.7416050371437009
Callisto,1442054.0,1441452,0.0417471185767293,1882700,1863361.0,1.0378763053330964,1.842166929776368e+27,2.9416791477150595
